emp_no,first_name,last_name,to_date,from_date,title
36982,Kotesh,Rajala,9999-01-01,1992-06-23,Senior Engineer
37070,Jeong,Undy,9999-01-01,1985-02-13,Senior Staff
37070,Jeong,Undy,9999-01-01,1985-02-13,Staff
37945,Suzette,Butterworth,9999-01-01,1994-02-19,Senior Engineer
38043,Michaela,Randi,9999-01-01,1985-11-23,Engineer
38043,Michaela,Randi,9999-01-01,1985-11-23,Senior Engineer
38103,Masasuke,Babu,9999-01-01,1988-03-31,Engineer
38103,Masasuke,Babu,9999-01-01,1988-03-31,Senior Engineer
38168,Fumiko,Deverell,9999-01-01,1987-08-15,Senior Staff
38168,Fumiko,Deverell,9999-01-01,1987-08-15,Staff
38550,JoAnne,Baez,9999-01-01,1987-02-16,Senior Engineer
38593,Huei,Orsini,9999-01-01,1986-06-04,Engineer
38593,Huei,Orsini,9999-01-01,1986-06-04,Senior Engineer
38947,Shuichi,Ruemmler,9999-01-01,1991-03-08,Senior Staff
38947,Shuichi,Ruemmler,9999-01-01,1991-03-08,Staff
39000,Martijn,Vendrig,9999-01-01,1997-03-03,Senior Staff
39000,Martijn,Vendrig,9999-01-01,1997-03-03,Staff
39036,Changho,Cappelli,9999-01-01,1996-05-04,Staff
39301,Rimon,Kawashima,9999-01-01,1992-02-06,Senior Staff
39301,Rimon,Kawashima,9999-01-01,1992-02-06,Staff
39341,Mahmut,Lampe,9999-01-01,1985-05-11,Engineer
39341,Mahmut,Lampe,9999-01-01,1985-05-11,Senior Engineer
39952,Otmar,Sudbeck,9999-01-01,1998-07-22,Staff
40269,Toshiki,Ghazalie,9999-01-01,1991-12-05,Senior Staff
40269,Toshiki,Ghazalie,9999-01-01,1991-12-05,Staff
40283,Sudhanshu,Boissier,9999-01-01,1985-05-11,Engineer
40283,Sudhanshu,Boissier,9999-01-01,1985-05-11,Senior Engineer
40301,Spyrose,Felder,9999-01-01,1996-06-16,Senior Engineer
40536,Harngdar,Bernardinello,9999-01-01,1988-02-29,Engineer
40536,Harngdar,Bernardinello,9999-01-01,1988-02-29,Senior Engineer
40765,Michaela,Ramsak,9999-01-01,1992-12-21,Senior Staff
40765,Michaela,Ramsak,9999-01-01,1992-12-21,Staff
40773,Shimshon,Aingworth,9999-01-01,1986-04-13,Senior Staff
40773,Shimshon,Aingworth,9999-01-01,1986-04-13,Staff
40983,Marla,Cherinka,9999-01-01,1986-12-01,Technique Leader
41114,Petter,Thummel,9999-01-01,1995-12-24,Technique Leader
41137,Bikash,Buchter,9999-01-01,1987-11-23,Senior Staff
41137,Bikash,Buchter,9999-01-01,1987-11-23,Staff
41357,Willard,Vernadat,9999-01-01,1997-03-04,Engineer
41518,Keung,Schapiro,9999-01-01,1998-04-19,Senior Engineer
41520,Xiong,Uhrik,9999-01-01,1988-03-21,Senior Engineer
41609,Yucai,Simmen,9999-01-01,1987-10-13,Senior Staff
42778,Shuji,Remmers,9999-01-01,1987-12-18,Senior Staff
42778,Shuji,Remmers,9999-01-01,1987-12-18,Staff
42911,Brigham,Eterovic,9999-01-01,1994-10-08,Engineer
42911,Brigham,Eterovic,9999-01-01,1994-10-08,Senior Engineer
42950,Shaleah,Eickenmeyer,9999-01-01,1993-10-09,Senior Staff
42955,Yucel,Lortz,9999-01-01,1995-02-21,Engineer
43154,Maha,Waterhouse,9999-01-01,1997-07-04,Senior Staff
43154,Maha,Waterhouse,9999-01-01,1997-07-04,Staff
43733,Huei,Boguraev,9999-01-01,1993-12-31,Senior Staff
43733,Huei,Boguraev,9999-01-01,1993-12-31,Staff
43848,Phillip,Oxenboll,9999-01-01,1999-05-26,Engineer
44054,Alenka,Ritcey,9999-01-01,1997-02-09,Engineer
44265,Maria,Eppinger,9999-01-01,1997-01-30,Engineer
44540,Mingzeng,Sadowski,9999-01-01,1989-11-12,Senior Engineer
44900,Mark,Schwaller,9999-01-01,1994-08-10,Senior Staff
44900,Mark,Schwaller,9999-01-01,1994-08-10,Staff
44959,Volkmar,Uhrik,9999-01-01,1988-01-16,Engineer
44959,Volkmar,Uhrik,9999-01-01,1988-01-16,Senior Engineer
44962,Sariel,Wynblatt,9999-01-01,1996-05-18,Assistant Engineer
45162,Dulce,Speel,9999-01-01,1987-10-19,Engineer
45162,Dulce,Speel,9999-01-01,1987-10-19,Senior Engineer
46000,Zhaofang,Penn,9999-01-01,1997-07-24,Senior Staff
46000,Zhaofang,Penn,9999-01-01,1997-07-24,Staff
46328,Wuxu,Trogemann,9999-01-01,1997-01-27,Senior Staff
46811,Junsik,Berendt,9999-01-01,1988-04-27,Senior Engineer
46834,Tooru,Daescu,9999-01-01,1998-03-20,Senior Staff
46943,Pasqua,Maraist,9999-01-01,1993-12-06,Engineer
46943,Pasqua,Maraist,9999-01-01,1993-12-06,Senior Engineer
47016,Toong,Litecky,9999-01-01,1989-03-01,Senior Staff
47016,Toong,Litecky,9999-01-01,1989-03-01,Staff
47139,Marco,Usdin,9999-01-01,1996-10-29,Engineer
47262,Gonzalo,Binkley,9999-01-01,1985-08-16,Engineer
47262,Gonzalo,Binkley,9999-01-01,1985-08-16,Senior Engineer
47515,Naraig,Jenevein,9999-01-01,1987-01-18,Senior Engineer
47702,Juyoung,Vieri,9999-01-01,1991-08-12,Senior Staff
47702,Juyoung,Vieri,9999-01-01,1991-08-12,Staff
47708,Edwin,Haldar,9999-01-01,1995-07-12,Senior Staff
48275,Sariel,Massonet,9999-01-01,1987-11-20,Senior Staff
48275,Sariel,Massonet,9999-01-01,1987-11-20,Staff
48690,Hitomi,Schaap,9999-01-01,1999-09-27,Staff
48882,Leen,Lamparter,9999-01-01,1993-06-07,Engineer
48882,Leen,Lamparter,9999-01-01,1993-06-07,Senior Engineer
48904,Yuichiro,Malabarba,9999-01-01,1994-03-07,Senior Staff
48904,Yuichiro,Malabarba,9999-01-01,1994-03-07,Staff
48947,Filipp,Akaboshi,9999-01-01,1992-05-20,Senior Staff
49010,Kazuhisa,Benantar,9999-01-01,1989-10-23,Senior Staff
49010,Kazuhisa,Benantar,9999-01-01,1989-10-23,Staff
49017,Filipp,Flanders,9999-01-01,1990-11-26,Engineer
49017,Filipp,Flanders,9999-01-01,1990-11-26,Senior Engineer
49119,Lena,Peek,9999-01-01,1991-05-16,Engineer
49119,Lena,Peek,9999-01-01,1991-05-16,Senior Engineer
49177,Tze,Bach,9999-01-01,1999-03-09,Engineer
49464,Siddarth,Cappelletti,9999-01-01,1999-09-10,Staff
49477,Baocai,Leaver,9999-01-01,1998-08-05,Senior Staff
50293,Xinan,Rindone,9999-01-01,1996-10-08,Engineer
50311,Mooi,Stafford,9999-01-01,1996-10-06,Senior Engineer
50453,Aron,Harbusch,9999-01-01,1997-10-02,Staff
50670,Boguslaw,Snedden,9999-01-01,1985-02-20,Senior Staff
50670,Boguslaw,Snedden,9999-01-01,1985-02-20,Staff
50831,Marie,Khalid,9999-01-01,1990-10-27,Senior Engineer
51036,Chriss,Fasbender,9999-01-01,1995-05-23,Staff
51057,Theirry,Albarhamtoshy,9999-01-01,1991-09-27,Senior Staff
51057,Theirry,Albarhamtoshy,9999-01-01,1991-09-27,Staff
51060,Youngkon,Rohrbach,9999-01-01,1989-10-20,Engineer
51060,Youngkon,Rohrbach,9999-01-01,1989-10-20,Senior Engineer
51142,Rosine,Lakshmanan,9999-01-01,1986-01-31,Engineer
51142,Rosine,Lakshmanan,9999-01-01,1986-01-31,Senior Engineer
52038,Chikako,Armand,9999-01-01,1985-05-18,Senior Engineer
52040,Phule,Heijenga,9999-01-01,1992-02-22,Senior Staff
52040,Phule,Heijenga,9999-01-01,1992-02-22,Staff
52283,Trygve,Krupka,9999-01-01,1994-03-11,Senior Staff
52283,Trygve,Krupka,9999-01-01,1994-03-11,Staff
52386,Adas,Denti,9999-01-01,1986-05-30,Senior Staff
52386,Adas,Denti,9999-01-01,1986-05-30,Staff
52590,Jouni,Munoz,9999-01-01,1995-11-26,Senior Staff
52590,Jouni,Munoz,9999-01-01,1995-11-26,Staff
52599,Augustine,Mungall,9999-01-01,1987-08-31,Engineer
52599,Augustine,Mungall,9999-01-01,1987-08-31,Senior Engineer
52639,Arup,Colorni,9999-01-01,1996-02-05,Senior Staff
52770,Shugo,Yurek,9999-01-01,1992-08-28,Senior Staff
52770,Shugo,Yurek,9999-01-01,1992-08-28,Staff
52778,Alain,Penn,9999-01-01,1986-05-03,Technique Leader
52956,Khalil,Picci,9999-01-01,1987-03-21,Engineer
52956,Khalil,Picci,9999-01-01,1987-03-21,Senior Engineer
52970,Lobel,Werthner,9999-01-01,1988-03-17,Engineer
52970,Lobel,Werthner,9999-01-01,1988-03-17,Senior Engineer
53278,Premsyl,Lortz,9999-01-01,1993-02-01,Senior Staff
53278,Premsyl,Lortz,9999-01-01,1993-02-01,Staff
53314,Eberhardt,Carrera,9999-01-01,1999-02-23,Staff
53431,Sham,Vasanthakumar,9999-01-01,1985-10-24,Senior Staff
53499,Zdislav,Mandelberg,9999-01-01,1994-09-11,Engineer
53499,Zdislav,Mandelberg,9999-01-01,1994-09-11,Senior Engineer
53597,Jiafu,Marchegay,9999-01-01,1985-03-02,Engineer
53597,Jiafu,Marchegay,9999-01-01,1985-03-02,Senior Engineer
53874,Bodo,Schade,9999-01-01,1986-02-14,Senior Staff
53874,Bodo,Schade,9999-01-01,1986-02-14,Staff
53924,Arnould,Gaughan,9999-01-01,1991-01-23,Engineer
53924,Arnould,Gaughan,9999-01-01,1991-01-23,Senior Engineer
54198,Shaowen,Segond,9999-01-01,1986-01-06,Engineer
54198,Shaowen,Segond,9999-01-01,1986-01-06,Senior Engineer
54632,Etsuo,Serot,9999-01-01,1989-06-14,Senior Staff
54632,Etsuo,Serot,9999-01-01,1989-06-14,Staff
54795,Sumant,Nergos,9999-01-01,1993-05-07,Senior Staff
54795,Sumant,Nergos,9999-01-01,1993-05-07,Staff
54800,Breannda,Cangellaris,9999-01-01,2000-01-27,Staff
55640,Adit,Syrotiuk,9999-01-01,1993-07-16,Engineer
55640,Adit,Syrotiuk,9999-01-01,1993-07-16,Senior Engineer
55687,Shih,Lindqvist,9999-01-01,1995-03-29,Senior Engineer
55799,Jianwen,Litzler,9999-01-01,1987-06-17,Engineer
55799,Jianwen,Litzler,9999-01-01,1987-06-17,Senior Engineer
55857,Adin,Scallan,9999-01-01,1987-09-15,Senior Staff
55857,Adin,Scallan,9999-01-01,1987-09-15,Staff
56105,Makato,Remmers,9999-01-01,1989-04-16,Engineer
56105,Makato,Remmers,9999-01-01,1989-04-16,Senior Engineer
56209,Remzi,Douceur,9999-01-01,1992-12-01,Engineer
56209,Remzi,Douceur,9999-01-01,1992-12-01,Senior Engineer
56415,Sigeru,Nivat,9999-01-01,1991-10-24,Senior Staff
56415,Sigeru,Nivat,9999-01-01,1991-10-24,Staff
56428,Olivera,Hanabata,9999-01-01,1986-11-10,Senior Staff
56428,Olivera,Hanabata,9999-01-01,1986-11-10,Staff
56682,Roded,Picco,9999-01-01,1993-11-06,Assistant Engineer
56829,Nagui,Gruenwald,9999-01-01,1995-12-24,Engineer
56847,Menkae,Chinin,9999-01-01,1989-08-19,Senior Engineer
57934,Sanjoy,Boudaillier,9999-01-01,1989-12-27,Engineer
57934,Sanjoy,Boudaillier,9999-01-01,1989-12-27,Senior Engineer
58141,Bezalel,Karner,9999-01-01,1994-09-27,Staff
58147,Shigenori,Sullins,9999-01-01,1988-02-24,Senior Staff
58384,Mariusz,Vural,9999-01-01,1993-11-14,Engineer
58384,Mariusz,Vural,9999-01-01,1993-11-14,Senior Engineer
58454,Ziya,Zambonelli,9999-01-01,1999-06-29,Engineer
58497,Yechiam,Cairo,9999-01-01,1996-07-12,Senior Staff
58819,Gennady,Liesche,9999-01-01,1987-12-02,Senior Staff
58990,Palash,Trelles,9999-01-01,1998-11-18,Engineer
59195,Ronnie,Pollock,9999-01-01,1990-06-19,Technique Leader
59640,Zita,Hiltgen,9999-01-01,1999-01-26,Staff
59869,Zsolt,Riefers,9999-01-01,1987-09-25,Senior Staff
59869,Zsolt,Riefers,9999-01-01,1987-09-25,Staff
59966,Steen,Salvesen,9999-01-01,1993-02-03,Technique Leader
60000,Heekeun,Emmart,9999-01-01,1995-09-23,Assistant Engineer
60000,Heekeun,Emmart,9999-01-01,1995-09-23,Engineer
60091,Surveyors,Bade,9999-01-01,1990-04-11,Senior Staff
60091,Surveyors,Bade,9999-01-01,1990-04-11,Staff
60238,Erzsebet,Claffy,9999-01-01,1997-03-03,Staff
60559,Jeanna,Stemann,9999-01-01,1988-08-29,Engineer
60559,Jeanna,Stemann,9999-01-01,1988-08-29,Senior Engineer
60821,Moty,Mersereau,9999-01-01,1991-09-03,Senior Staff
60821,Moty,Mersereau,9999-01-01,1991-09-03,Staff
60845,Bedir,Siegrist,9999-01-01,1997-05-13,Engineer
60875,Rildo,Masaki,9999-01-01,1990-01-14,Engineer
60875,Rildo,Masaki,9999-01-01,1990-01-14,Senior Engineer
60959,Tetsushi,Sridhar,9999-01-01,1989-01-12,Senior Staff
60959,Tetsushi,Sridhar,9999-01-01,1989-01-12,Staff
61147,Leszek,Werthner,9999-01-01,1999-03-03,Staff
61253,Cheong,Uhrik,9999-01-01,1996-06-04,Engineer
61253,Cheong,Uhrik,9999-01-01,1996-06-04,Senior Engineer
61377,Dannz,Ohori,9999-01-01,1988-01-18,Senior Staff
61377,Dannz,Ohori,9999-01-01,1988-01-18,Staff
61541,Kasidit,Papsdorf,9999-01-01,1993-08-17,Engineer
61541,Kasidit,Papsdorf,9999-01-01,1993-08-17,Senior Engineer
61873,Woody,Rusmann,9999-01-01,1993-02-26,Assistant Engineer
61873,Woody,Rusmann,9999-01-01,1993-02-26,Engineer
62033,Heeju,Cappelli,9999-01-01,1987-01-15,Engineer
62033,Heeju,Cappelli,9999-01-01,1987-01-15,Senior Engineer
62046,Karlis,Nanard,9999-01-01,1992-09-19,Engineer
62046,Karlis,Nanard,9999-01-01,1992-09-19,Senior Engineer
62245,Adel,Bressoud,9999-01-01,1995-08-30,Engineer
63294,Tetsushi,Tanemo,9999-01-01,1997-03-01,Engineer
63294,Tetsushi,Tanemo,9999-01-01,1997-03-01,Senior Engineer
63419,Hiroyasu,Seuren,9999-01-01,1989-03-05,Senior Engineer
63441,Hinrich,Scallan,9999-01-01,1999-04-04,Staff
63566,Heekeun,Slaats,9999-01-01,1999-01-12,Senior Staff
63631,Falguni,Cherinka,9999-01-01,1986-09-08,Senior Engineer
63706,Sedat,Itzigehl,9999-01-01,1997-07-31,Engineer
64023,Laurentiu,Benzmuller,9999-01-01,1999-11-08,Senior Engineer
64209,Golgen,Schoegge,9999-01-01,1988-02-26,Senior Staff
64487,Tsutomu,Rebaine,9999-01-01,1986-09-17,Engineer
64487,Tsutomu,Rebaine,9999-01-01,1986-09-17,Senior Engineer
64532,Atilio,Segond,9999-01-01,1990-11-29,Engineer
